sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 190";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"190 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 190";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"190 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"hazardous!";"";"100";"52 – 100";"<2";"~7 pH; no copper";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"possible hazard";"";"100";"100 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"pitting; stress corrosion";"100";"52 – 145";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"145 – 190";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"190 – 282";">50";"~7 pH";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"pitting; stress cracks";"100";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
