sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cellulose Acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; softened >12 months";"5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; softened ";"20 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended; disintegrated";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"almond oil";"";"";"";"";"essential oils";"3";"not recommended; disintegrated";"any";"0 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"aluminum acetate";"";"";"";"";"salts";"3";"not recommended; weight gain";"30";"60 – 70";"<6";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"3";"not recommended; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"3";"not recommended; surface attack, weight gain";"20";"90 – 100";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"3";"not recommended; weight gain";"30";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"2";"questionable";"70";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
