sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polysulfone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Polysulfone";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Polysulfone";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"1";"recommended";"10";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polysulfone";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"40 – 50";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polysulfone";"cyclohexane";"hexahydrobenzene";"110-82-7";"C6H12";"hydrocarbons";"1";"recommended";">90";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polysulfone";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"1";"recommended";">90";"125 – 170";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polysulfone";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"3";"not recommended; weight gain";"40";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polysulfone";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"3";"not recommended";"40";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polysulfone";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">90";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polysulfone";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"1";"recommended";"10 – 20";"125 – 170";"<1";"7-day test";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polysulfone";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";">90";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polysulfone";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10 – 20";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polysulfone";"ozone";"";"10028-15-6";"O3";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polysulfone";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"90";"75 – 170";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polysulfone";"potassium hydroxide";"";"1310-58-3";"HKO";"bases";"1";"recommended";"30 – 40";"75 – 170";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polysulfone";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"30 – 40";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
