sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polymethyl Methacrylate (PMMA)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Polymethyl Methacrylate (PMMA)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended; weight gain";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Polymethyl Methacrylate (PMMA)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"<1";"glacial also";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Polymethyl Methacrylate (PMMA)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; may dissolve";"100";"70 – 150";"";"anhydrous also";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Polymethyl Methacrylate (PMMA)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Polymethyl Methacrylate (PMMA)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Polymethyl Methacrylate (PMMA)";"aluminum ammonium sulfate";"ammonium alum";"";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polymethyl Methacrylate (PMMA)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polymethyl Methacrylate (PMMA)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polymethyl Methacrylate (PMMA)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polymethyl Methacrylate (PMMA)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polymethyl Methacrylate (PMMA)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polymethyl Methacrylate (PMMA)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 70";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polymethyl Methacrylate (PMMA)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polymethyl Methacrylate (PMMA)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"2";"questionable";"30";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polymethyl Methacrylate (PMMA)";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polymethyl Methacrylate (PMMA)";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polymethyl Methacrylate (PMMA)";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polymethyl Methacrylate (PMMA)";"ammonium thiocyanate";"ammonium rhodanide";"";"1762-95-4";"CH4N2S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polymethyl Methacrylate (PMMA)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended; weight gain ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polymethyl Methacrylate (PMMA)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended; may dissolve ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polymethyl Methacrylate (PMMA)";"amyl chloride";"1-chloropentane";"";"543-59-9";"C5H11Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polymethyl Methacrylate (PMMA)";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polymethyl Methacrylate (PMMA)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polymethyl Methacrylate (PMMA)";"ascorbic acid";"";"medicine";"";"";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polymethyl Methacrylate (PMMA)";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"";"";"pharmaceuticals";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polymethyl Methacrylate (PMMA)";"barium carbonate";"";"";"513-77-9";"CBaO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polymethyl Methacrylate (PMMA)";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polymethyl Methacrylate (PMMA)";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polymethyl Methacrylate (PMMA)";"barium hydroxide";"caustic baryta";"";"17194-00-2";"BaH2O2";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polymethyl Methacrylate (PMMA)";"barium sulfate";"";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polymethyl Methacrylate (PMMA)";"barium sulfide";"";"";"21109-95-5";"BaS";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polymethyl Methacrylate (PMMA)";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polymethyl Methacrylate (PMMA)";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; disintegrated";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polymethyl Methacrylate (PMMA)";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polymethyl Methacrylate (PMMA)";"bismuth subcarbonate";"bismuth basic carbonate";"";"5892-10-04";"CBi2O5";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polymethyl Methacrylate (PMMA)";"boric acid";"";"";"";"";"inorganic acids";"1";"recommended";"10 – 30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polymethyl Methacrylate (PMMA)";"boric acid";"";"";"";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polymethyl Methacrylate (PMMA)";"bromine";"";"";"7726-95-6";"Br2";"";"2";"questionable";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polymethyl Methacrylate (PMMA)";"bromine";"";"";"7726-95-6";"Br2";"";"3";"not recommended";"10";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polymethyl Methacrylate (PMMA)";"bromine";"";"";"7726-95-6";"Br2";"";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polymethyl Methacrylate (PMMA)";"butyl acetate";"";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polymethyl Methacrylate (PMMA)";"butyric acid";"butanoic acid";"";"107-92-6";"C4H8O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Polymethyl Methacrylate (PMMA)";"calcium carbonate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
