sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"bromine";"saturated";"7726-95-6";"Br2";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"liquid at 16°C (60°F), vapor at 21°C (70°F)";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"bromine";"saturated";"7726-95-6";"Br2";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable; not recommended in liquid";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 150";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Carbon-Graphite Composites";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"bromine";"";"7726-95-6";"Br2";"1";"recommended; dry gas and moist gas, liquid is not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"bromine";"wet or dry gas";"7726-95-6";"Br2";"1";"recommended; liquid not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"";"bromine";"vapor";"7726-95-6";"Br2";"1";"recommended";"90";"60 – 70";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"bromine";"saturated, vapor";"7726-95-6";"Br2";"1";"recommended";"10";"50 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorosulfonated Polyethylene";"";"bromine";"liquid";"7726-95-6";"Br2";"2";"questionable";"100";"60 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Concrete";"";"bromine";"wet, vapor";"7726-95-6";"Br2";"3";"not recommended";"90";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Concrete";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"100";"60 – 70";"";"no water, no hydrogen bromide";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended; bromine water not recommended at 24°C (75°F)";"4";"70 – 200";"";"saturated";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
