sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium ferricyanide or ferrocyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"30 – 90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"potassium ferricyanide or ferrocyanide";"";"2";"questionable";"30 – 90";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acetal Resins (Polyoxymethylene)";"";"potassium ferricyanide or ferrocyanide";"";"3";"not recommended";"30 – 90";"175 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"70";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"";"2";"questionable";"70";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"";"2";"questionable";"90";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";">90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
