sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Iodine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"10";"60 – 70";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"10 – 20";"70 – 150";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"10";"60 – 70";"<1";"saturated; discolored; weight gain";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"iodine";"vapor";"7553-56-2";"I2";"1";"recommended";"100";"175";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"10";"70 – 150";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10 – 90";"60 – 70";"";"vapor; liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"iodine";"saturated";"7553-56-2";"I2";"1";"recommended";"10";"70 – 212";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
