sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";"50";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"2";"questionable; swollen, ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"2";"questionable; disintegrated ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"2";"questionable; discolored, softened, weight gain, >12 months";"5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"3";"not recommended; weight gain ";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"3";"not recommended; disintegrated; 12 months";"5";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";"40";"85";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";""
