sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Wood";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";""
"1";"Wood";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"1";"recommended";"10 – 70";"60 – 70";">12";"vinegar products; 8-30 years; tanks";"1";"";"";"";"";"";"";"";"";""
"2";"Wood";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"3";"not recommended";"100";"60 – 70";"";"glacial also";"1";"";"";"";"";"";"";"";"";""
"3";"Wood";"";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"4";"Wood";"";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"5";"Wood";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"1";"recommended";"10 – 70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"6";"Wood";"";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"";"1";"recommended";"10";"70 – 150";"";"pine, cypress";"1";"";"";"";"";"";"";"";"";""
"7";"Wood";"";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"";"1";"recommended; cypress over 16 years";"30";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";""
"8";"Wood";"";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"1";"recommended; tanks; 1 to 3 years";"2 – 4";"50 – 100";">12";"";"1";"";"";"";"";"";"";"";"";""
"9";"Wood";"";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"1";"recommended";"30";"60 – 70";"";"pine";"1";"";"";"";"";"";"";"";"";""
"10";"Wood";"";"ammonia";"";"";"7664-41-7";"H3N";"bases";"";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"11";"Wood";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"12";"Wood";"";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"";"1";"recommended";"10";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"13";"Wood";"";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"";"1";"recommended; tanks; >3 years; ~6% also; fire hazard if dry";"10 – 90";"70 – 150";">12";"";"1";"";"";"";"";"";"";"";"";""
"14";"Wood";"Pine";"ammonium phosphate";"";"";"";"";"salts";"";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"15";"Wood";"";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"";"3";"not recommended";"10 – 90";"60 – 70";"";"fire hazard if dry, persulfate";"1";"";"";"";"";"";"";"";"";""
"16";"Wood";"";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"17";"Wood";"";"ammonium thiocyanate";"ammonium rhodanide";"";"1762-95-4";"CH4N2S";"salts";"";"1";"recommended";">10";"60 – 70";"";"also in ammonium cyanate or cyanide";"1";"";"";"";"";"";"";"";"";""
"18";"Wood";"";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"";"2";"questionable";"10";"70 – 150";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"19";"Wood";"";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"";"1";"recommended";"100";"70 – 125";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"20";"Wood";"";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"";"1";"recommended";">10";"25 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
