sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Isobutyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Glass Fiber- Reinforced";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"3";"not recommended";"100";"60 – 70";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Fluororubber";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"3";"not recommended; swollen";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Nylon";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"1";"recommended";"100";"70 – 200";"no water; wet";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Wood";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
